CustomerID,Genre,Age,Annual_Income_(k$),Spending_Score,subscription
1,Male,19,15,39,False
2,Male,21,15,81,False
3,Female,20,16,6,True
4,Female,23,16,77,True
5,Female,31,17,40,False
6,Female,22,17,76,False
7,Female,35,18,6,False
8,Female,23,18,94,True
9,Male,64,19,3,True
10,Female,30,19,72,True
11,Male,67,19,14,False
12,Female,35,19,99,False
13,Female,58,20,15,True
14,Female,24,20,77,True
15,Male,37,20,13,True
16,Male,22,20,79,True
17,Female,35,21,35,True
18,Male,20,21,66,False
19,Male,52,23,29,False
20,Female,35,23,98,False
21,Male,35,24,35,False
22,Male,25,24,73,True
23,Female,46,25,5,False
24,Male,31,25,73,False
25,Female,54,28,14,True
26,Male,29,28,82,True
27,Female,45,28,32,True
28,Male,35,28,61,True
29,Female,40,29,31,True
30,Female,23,29,87,True
31,Male,60,30,4,False
32,Female,21,30,73,True
33,Male,53,33,4,True
34,Male,18,33,92,True
35,Female,49,33,14,True
36,Female,21,33,81,True
37,Female,42,34,17,True
38,Female,30,34,73,True
39,Female,36,37,26,True
40,Female,20,37,75,False
41,Female,65,38,35,False
42,Male,24,38,92,True
43,Male,48,39,36,False
44,Female,31,39,61,True
45,Female,49,39,28,True
46,Female,24,39,65,True
47,Female,50,40,55,True
48,Female,27,40,47,False
49,Female,29,40,42,False
50,Female,31,40,42,False
51,Female,49,42,52,False
52,Male,33,42,60,False
53,Female,31,43,54,False
54,Male,59,43,60,False
55,Female,50,43,45,True
56,Male,47,43,41,True
57,Female,51,44,50,False
58,Male,69,44,46,True
59,Female,27,46,51,False
60,Male,53,46,46,False
61,Male,70,46,56,False
62,Male,19,46,55,False
63,Female,67,47,52,True
64,Female,54,47,59,True
65,Male,63,48,51,False
66,Male,18,48,59,True
67,Female,43,48,50,True
68,Female,68,48,48,False
69,Male,19,48,59,False
70,Female,32,48,47,True
71,Male,70,49,55,False
72,Female,47,49,42,False
73,Female,60,50,49,True
74,Female,60,50,56,False
75,Male,59,54,47,True
76,Male,26,54,54,False
77,Female,45,54,53,True
78,Male,40,54,48,True
79,Female,23,54,52,False
80,Female,49,54,42,False
81,Male,57,54,51,False
82,Male,38,54,55,True
83,Male,67,54,41,False
84,Female,46,54,44,True
85,Female,21,54,57,False
86,Male,48,54,46,True
87,Female,55,57,58,False
88,Female,22,57,55,False
89,Female,34,58,60,False
90,Female,50,58,46,True
91,Female,68,59,55,False
92,Male,18,59,41,False
93,Male,48,60,49,False
94,Female,40,60,40,True
95,Female,32,60,42,True
96,Male,24,60,52,True
97,Female,47,60,47,True
98,Female,27,60,50,True
99,Male,48,61,42,True
100,Male,20,61,49,False
101,Female,23,62,41,True
102,Female,49,62,48,True
103,Male,67,62,59,False
104,Male,26,62,55,False
105,Male,49,62,56,False
106,Female,21,62,42,False
107,Female,66,63,50,True
108,Male,54,63,46,True
109,Male,68,63,43,True
110,Male,66,63,48,True
111,Male,65,63,52,False
112,Female,19,63,54,True
113,Female,38,64,42,True
114,Male,19,64,46,False
115,Female,18,65,48,False
116,Female,19,65,50,True
117,Female,63,65,43,False
118,Female,49,65,59,True
119,Female,51,67,43,True
120,Female,50,67,57,True
121,Male,27,67,56,True
122,Female,38,67,40,False
123,Female,40,69,58,True
124,Male,39,69,91,True
125,Female,23,70,29,True
126,Female,31,70,77,False
127,Male,43,71,35,False
128,Male,40,71,95,True
129,Male,59,71,11,True
130,Male,38,71,75,True
131,Male,47,71,9,False
132,Male,39,71,75,True
133,Female,25,72,34,True
134,Female,31,72,71,False
135,Male,20,73,5,True
136,Female,29,73,88,True
137,Female,44,73,7,False
138,Male,32,73,73,True
139,Male,19,74,10,True
140,Female,35,74,72,True
141,Female,57,75,5,False
142,Male,32,75,93,False
143,Female,28,76,40,True
144,Female,32,76,87,True
145,Male,25,77,12,True
146,Male,28,77,97,True
147,Male,48,77,36,True
148,Female,32,77,74,True
149,Female,34,78,22,False
150,Male,34,78,90,True
151,Male,43,78,17,False
152,Male,39,78,88,False
153,Female,44,78,20,True
154,Female,38,78,76,False
155,Female,47,78,16,False
156,Female,27,78,89,False
157,Male,37,78,1,True
158,Female,30,78,78,True
159,Male,34,78,1,False
160,Female,30,78,73,True
161,Female,56,79,35,True
162,Female,29,79,83,True
163,Male,19,81,5,True
164,Female,31,81,93,False
165,Male,50,85,26,False
166,Female,36,85,75,True
167,Male,42,86,20,False
168,Female,33,86,95,True
169,Female,36,87,27,False
170,Male,32,87,63,True
171,Male,40,87,13,False
172,Male,28,87,75,True
173,Male,36,87,10,False
174,Male,36,87,92,False
175,Female,52,88,13,True
176,Female,30,88,86,True
177,Male,58,88,15,False
178,Male,27,88,69,True
179,Male,59,93,14,True
180,Male,35,93,90,True
181,Female,37,97,32,True
182,Female,32,97,86,True
183,Male,46,98,15,False
184,Female,29,98,88,True
185,Female,41,99,39,True
186,Male,30,99,97,False
187,Female,54,101,24,False
188,Male,28,101,68,False
189,Female,41,103,17,False
190,Female,36,103,85,True
191,Female,34,103,23,False
192,Female,32,103,69,False
193,Male,33,113,8,True
194,Female,38,113,91,True
195,Female,47,120,16,True
196,Female,35,120,79,False
197,Female,45,126,28,False
198,Male,32,126,74,True
199,Male,32,137,18,False
200,Male,30,137,83,False
